trein_id,dienst_datum,traject,vertrek_station,aankomst_station,vertrek_uur
IC1037,2024-05-23,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,13
SPR2009,2024-05-23,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,18
IC1028,2024-05-23,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,5
IC1024,2024-05-23,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,8
IC1018,2024-05-23,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,10
IC1012,2024-05-23,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,19
SPR2014,2024-05-23,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,6
SPR2029,2024-05-23,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,21
SPR2018,2024-05-23,Amsterdam Centraal - Den Haag Centraal,Amsterdam Centraal,Den Haag Centraal,20
SPR2013,2024-05-23,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,20
IC1029,2024-05-23,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,21
IC1043,2024-05-23,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,6
SPR2022,2024-05-23,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,17
SPR2000,2024-05-23,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,6
IC1036,2024-05-23,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,9
IC1000,2024-05-23,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,17
SPR2010,2024-05-23,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,20
IC1034,2024-05-23,Amsterdam Centraal - Den Haag Centraal,Amsterdam Centraal,Den Haag Centraal,9
SPR2004,2024-05-23,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,8
IC1009,2024-05-23,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,14
SPR2017,2024-05-23,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,22
SPR2015,2024-05-23,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,5
SPR2025,2024-05-23,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,16
SPR2005,2024-05-23,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,9
SPR2008,2024-05-23,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,11
IC1026,2024-05-23,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,20
SPR2012,2024-05-23,Amersfoort - Eindhoven,Amersfoort,Eindhoven,6
IC1040,2024-05-23,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,22
IC1008,2024-05-23,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,13
IC1046,2024-05-23,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,17
SPR2011,2024-05-23,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,16
IC1020,2024-05-23,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,17
SPR2003,2024-05-23,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,15
IC1031,2024-05-23,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,22
IC1002,2024-05-23,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,7
SPR2002,2024-05-24,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,19
IC1023,2024-05-24,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,18
IC1036,2024-05-24,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,20
IC1004,2024-05-24,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,10
SPR2013,2024-05-24,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,16
SPR2027,2024-05-24,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,17
IC1009,2024-05-24,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,20
SPR2028,2024-05-24,Eindhoven - Amersfoort,Eindhoven,Amersfoort,5
SPR2012,2024-05-24,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,7
IC1044,2024-05-24,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,17
IC1012,2024-05-24,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,9
IC1035,2024-05-24,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,5
IC1034,2024-05-24,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,22
IC1010,2024-05-24,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,14
IC1042,2024-05-24,Eindhoven - Rotterdam Centraal,Eindhoven,Rotterdam Centraal,18
IC1008,2024-05-24,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,9
IC1003,2024-05-24,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,12
SPR2009,2024-05-24,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,18
IC1011,2024-05-24,Amersfoort - Eindhoven,Amersfoort,Eindhoven,18
IC1029,2024-05-24,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,5
IC1038,2024-05-24,Eindhoven - Amersfoort,Eindhoven,Amersfoort,9
SPR2023,2024-05-24,Amersfoort - Eindhoven,Amersfoort,Eindhoven,6
IC1007,2024-05-24,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,19
IC1037,2024-05-24,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,21
IC1021,2024-05-24,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,17
SPR2000,2024-05-24,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,22
IC1006,2024-05-24,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,11
IC1030,2024-05-24,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,18
SPR2026,2024-05-24,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,16
IC1026,2024-05-24,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,21
SPR2024,2024-05-24,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,10
SPR2021,2024-05-24,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,11
SPR2020,2024-05-24,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,13
IC1047,2024-05-24,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,21
IC1020,2024-05-24,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,14
IC1017,2024-05-24,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,19
SPR2016,2024-05-24,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,19
IC1048,2024-05-24,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,9
IC1018,2024-05-24,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,19
SPR2011,2024-05-24,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,19
IC1016,2024-05-25,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,9
IC1028,2024-05-25,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,12
SPR2015,2024-05-25,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,22
IC1041,2024-05-25,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,9
SPR2020,2024-05-25,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,10
SPR2003,2024-05-25,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,20
IC1011,2024-05-25,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,16
IC1014,2024-05-25,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,16
IC1007,2024-05-25,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,8
IC1019,2024-05-25,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,10
SPR2008,2024-05-25,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,14
SPR2011,2024-05-25,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,15
SPR2012,2024-05-25,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,7
IC1025,2024-05-25,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,8
SPR2023,2024-05-25,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,8
SPR2004,2024-05-25,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,12
IC1018,2024-05-25,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,8
IC1033,2024-05-25,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,12
IC1002,2024-05-25,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,21
SPR2005,2024-05-25,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,14
SPR2016,2024-05-25,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,14
IC1046,2024-05-25,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,15
SPR2006,2024-05-25,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,10
IC1021,2024-05-25,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,5
SPR2002,2024-05-25,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,21
IC1040,2024-05-25,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,17
SPR2021,2024-05-25,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,5
SPR2017,2024-05-25,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,17
SPR2018,2024-05-25,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,18
IC1012,2024-05-25,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,16
SPR2001,2024-05-25,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,7
IC1004,2024-05-25,Eindhoven - Amersfoort,Eindhoven,Amersfoort,12
IC1003,2024-05-25,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,7
IC1010,2024-05-25,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,9
IC1023,2024-05-25,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,5
IC1024,2024-05-25,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,8
IC1029,2024-05-25,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,9
IC1047,2024-05-25,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,10
IC1042,2024-05-25,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,11
SPR2025,2024-05-25,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,11
IC1005,2024-05-26,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,20
IC1002,2024-05-26,Amersfoort - Eindhoven,Amersfoort,Eindhoven,13
IC1012,2024-05-26,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,14
SPR2019,2024-05-26,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,9
IC1010,2024-05-26,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,11
IC1027,2024-05-26,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,10
IC1032,2024-05-26,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,5
IC1009,2024-05-26,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,16
IC1039,2024-05-26,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,13
SPR2004,2024-05-26,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,18
SPR2025,2024-05-26,Amersfoort - Eindhoven,Amersfoort,Eindhoven,10
SPR2014,2024-05-26,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,12
SPR2013,2024-05-26,Amersfoort - Eindhoven,Amersfoort,Eindhoven,22
IC1034,2024-05-26,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,12
SPR2027,2024-05-26,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,13
SPR2003,2024-05-26,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,10
IC1043,2024-05-26,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,13
IC1049,2024-05-26,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,20
SPR2001,2024-05-26,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,8
IC1038,2024-05-26,Amersfoort - Eindhoven,Amersfoort,Eindhoven,12
IC1041,2024-05-26,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,20
IC1044,2024-05-26,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,6
IC1007,2024-05-26,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,18
SPR2028,2024-05-26,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,11
SPR2015,2024-05-26,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,8
SPR2012,2024-05-26,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,11
IC1015,2024-05-26,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,7
SPR2021,2024-05-26,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,17
SPR2008,2024-05-26,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,15
SPR2023,2024-05-26,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,9
IC1021,2024-05-26,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,16
IC1042,2024-05-26,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,11
IC1000,2024-05-26,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,18
IC1025,2024-05-26,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,20
IC1028,2024-05-26,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,7
SPR2017,2024-05-26,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,8
IC1001,2024-05-26,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,21
IC1031,2024-05-26,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,11
IC1017,2024-05-26,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,13
IC1006,2024-05-26,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,12
IC1039,2024-05-27,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,13
IC1049,2024-05-27,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,12
IC1025,2024-05-27,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,16
IC1031,2024-05-27,Den Haag Centraal - Amsterdam Centraal,Den Haag Centraal,Amsterdam Centraal,10
SPR2016,2024-05-27,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,13
IC1023,2024-05-27,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,7
SPR2010,2024-05-27,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,13
SPR2026,2024-05-27,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,13
IC1030,2024-05-27,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,20
IC1000,2024-05-27,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,8
IC1006,2024-05-27,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,13
IC1044,2024-05-27,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,8
SPR2018,2024-05-27,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,12
IC1017,2024-05-27,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,19
SPR2000,2024-05-27,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,11
IC1021,2024-05-27,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,10
SPR2019,2024-05-27,Eindhoven - Amersfoort,Eindhoven,Amersfoort,20
IC1003,2024-05-27,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,18
IC1020,2024-05-27,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,6
IC1014,2024-05-27,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,12
IC1024,2024-05-27,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,11
SPR2022,2024-05-27,Amsterdam Centraal - Den Haag Centraal,Amsterdam Centraal,Den Haag Centraal,22
SPR2029,2024-05-27,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,8
IC1011,2024-05-27,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,13
IC1012,2024-05-27,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,15
SPR2011,2024-05-27,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,21
SPR2002,2024-05-27,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,6
IC1046,2024-05-27,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,6
SPR2023,2024-05-27,Amsterdam Centraal - Den Haag Centraal,Amsterdam Centraal,Den Haag Centraal,9
IC1016,2024-05-27,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,6
SPR2003,2024-05-27,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,14
IC1019,2024-05-27,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,8
SPR2014,2024-05-27,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,12
IC1048,2024-05-27,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,9
SPR2007,2024-05-27,Den Haag Centraal - Utrecht Centraal,Den Haag Centraal,Utrecht Centraal,7
IC1045,2024-05-27,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,16
IC1013,2024-05-27,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,21
IC1040,2024-05-27,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,8
IC1035,2024-05-27,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,19
SPR2015,2024-05-27,Eindhoven - Amersfoort,Eindhoven,Amersfoort,17
IC1049,2024-05-28,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,17
IC1012,2024-05-28,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,19
SPR2012,2024-05-28,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,15
IC1017,2024-05-28,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,9
IC1007,2024-05-28,Amersfoort - Eindhoven,Amersfoort,Eindhoven,20
IC1041,2024-05-28,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,5
IC1042,2024-05-28,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,17
IC1031,2024-05-28,Eindhoven - Rotterdam Centraal,Eindhoven,Rotterdam Centraal,16
IC1026,2024-05-28,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,17
SPR2018,2024-05-28,Amsterdam Centraal - Den Haag Centraal,Amsterdam Centraal,Den Haag Centraal,14
SPR2002,2024-05-28,Utrecht Centraal - Eindhoven,Utrecht Centraal,Eindhoven,20
IC1037,2024-05-28,Eindhoven - Rotterdam Centraal,Eindhoven,Rotterdam Centraal,15
SPR2022,2024-05-28,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,14
IC1035,2024-05-28,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,22
SPR2003,2024-05-28,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,6
SPR2021,2024-05-28,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,14
SPR2019,2024-05-28,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,15
IC1002,2024-05-28,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,10
IC1014,2024-05-28,Eindhoven - Utrecht Centraal,Eindhoven,Utrecht Centraal,19
IC1011,2024-05-28,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,22
IC1044,2024-05-28,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,5
IC1034,2024-05-28,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,11
IC1001,2024-05-28,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,19
IC1024,2024-05-28,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,5
SPR2024,2024-05-28,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,19
IC1008,2024-05-28,Eindhoven - Amersfoort,Eindhoven,Amersfoort,21
IC1028,2024-05-28,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,5
SPR2008,2024-05-28,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,7
IC1020,2024-05-28,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,11
IC1013,2024-05-28,Amersfoort - Eindhoven,Amersfoort,Eindhoven,6
IC1046,2024-05-28,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,8
IC1043,2024-05-28,Eindhoven - Rotterdam Centraal,Eindhoven,Rotterdam Centraal,19
IC1018,2024-05-28,Eindhoven - Amsterdam Centraal,Eindhoven,Amsterdam Centraal,14
SPR2001,2024-05-28,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,9
IC1027,2024-05-28,Amersfoort - Eindhoven,Amersfoort,Eindhoven,5
SPR2028,2024-05-28,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,18
IC1023,2024-05-28,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,13
SPR2009,2024-05-28,Amersfoort - Amsterdam Centraal,Amersfoort,Amsterdam Centraal,5
IC1039,2024-05-28,Utrecht Centraal - Den Haag Centraal,Utrecht Centraal,Den Haag Centraal,14
SPR2029,2024-05-28,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,22
SPR2010,2024-05-29,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,14
IC1016,2024-05-29,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,12
IC1021,2024-05-29,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,10
SPR2022,2024-05-29,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,21
IC1039,2024-05-29,Amersfoort - Eindhoven,Amersfoort,Eindhoven,8
SPR2015,2024-05-29,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,10
SPR2023,2024-05-29,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,10
SPR2025,2024-05-29,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,22
IC1012,2024-05-29,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,22
SPR2027,2024-05-29,Amsterdam Centraal - Eindhoven,Amsterdam Centraal,Eindhoven,5
SPR2004,2024-05-29,Utrecht Centraal - Rotterdam Centraal,Utrecht Centraal,Rotterdam Centraal,6
IC1018,2024-05-29,Amersfoort - Den Haag Centraal,Amersfoort,Den Haag Centraal,5
IC1024,2024-05-29,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,9
IC1020,2024-05-29,Eindhoven - Den Haag Centraal,Eindhoven,Den Haag Centraal,9
IC1000,2024-05-29,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,10
IC1028,2024-05-29,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,5
SPR2019,2024-05-29,Rotterdam Centraal - Amersfoort,Rotterdam Centraal,Amersfoort,16
IC1025,2024-05-29,Amsterdam Centraal - Utrecht Centraal,Amsterdam Centraal,Utrecht Centraal,11
IC1049,2024-05-29,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,8
IC1038,2024-05-29,Rotterdam Centraal - Den Haag Centraal,Rotterdam Centraal,Den Haag Centraal,20
IC1032,2024-05-29,Amersfoort - Utrecht Centraal,Amersfoort,Utrecht Centraal,8
IC1033,2024-05-29,Amersfoort - Rotterdam Centraal,Amersfoort,Rotterdam Centraal,17
IC1048,2024-05-29,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,14
SPR2009,2024-05-29,Rotterdam Centraal - Eindhoven,Rotterdam Centraal,Eindhoven,21
IC1002,2024-05-29,Rotterdam Centraal - Amsterdam Centraal,Rotterdam Centraal,Amsterdam Centraal,8
IC1004,2024-05-29,Utrecht Centraal - Amersfoort,Utrecht Centraal,Amersfoort,10
SPR2018,2024-05-29,Den Haag Centraal - Rotterdam Centraal,Den Haag Centraal,Rotterdam Centraal,6
IC1036,2024-05-29,Den Haag Centraal - Eindhoven,Den Haag Centraal,Eindhoven,15
IC1009,2024-05-29,Rotterdam Centraal - Utrecht Centraal,Rotterdam Centraal,Utrecht Centraal,7
IC1047,2024-05-29,Utrecht Centraal - Amsterdam Centraal,Utrecht Centraal,Amsterdam Centraal,20
IC1042,2024-05-29,Den Haag Centraal - Amersfoort,Den Haag Centraal,Amersfoort,22
SPR2028,2024-05-29,Amsterdam Centraal - Amersfoort,Amsterdam Centraal,Amersfoort,9
SPR2017,2024-05-29,Amsterdam Centraal - Rotterdam Centraal,Amsterdam Centraal,Rotterdam Centraal,10
